Kategorie,Alternativer Kategoriename,Name,Alternativer name,Beschreibung,Art der Herausforderung 1,Herausforderungsopt. 2,Herausforderungsopt. 3,Kriterium 1,Kriterium 2,Kriterium 3,Material 1,Material 2,Minuten,Wiederholungen,Bewertung,Ergebnistyp,Token-Belohnungssystem
Haushalt,Zuhause / At home,Staub saugen,Erlebnisreise durch die Wohnung,Sauge in mindestens einem Raum Staub (und lausche dabei den verschiedenen Klängen der aufgesaugten Krümel),Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,,,,,Ja/nein,Success,
Haushalt,,Wischen,Meister Propper,Wische in einem Raum deiner Wohnung mal wieder ordentlich Staub.,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,,,,,Ja/nein,Success,
Haushalt,,Festplatte aufräumen,SSD und so,Nimm dir deine Festplatte vor und sortiere alles aus was du nicht mehr benötigst oder was doppelt ist.,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,,,,,Ja/nein,Success,
Haushalt,,Kleiderschrank aufräumen,Kleiderkreisel,"Schau in deinen Kleiderschrank und sortiere alles aus, was du seit mindestens einem Jahr nicht mehr anhattest.",Selbstherausforderung,Gemeinsamstark,,,,,,,,,Foto,Success,
Haushalt,,Zimmer aufräumen,Reise nach Narnia,Nimm dir ein Zimmer vor und räume auf.,Selbstherausforderung,Gemeinsamstark,,,,,,,,,Foto,Success,
Haushalt,,Küche aufräumen,Man könnte vom Boden essen...,"Schaffe Platz in deiner Küche, räume auf und putze ordentlich durch.",Selbstherausforderung,Gemeinsamstark,,,,,,,,,Foto,Success,
Haushalt,,Backofen reinigen,Hänsel und Gretel,Schnapp dir eine Bürste oder einen Schwamm und reinige deinen Backofen.,,,,,,,,,,,,Success,
Haushalt,,Kassenzettel,Bonwahnsinn/Bonpflicht,"Finde den Kassenzettel mit der spätesten Uhrzeit wo Nudeln, Toilettenpapier und Mehl drauf stehen",Fremdherausforderung,,,,,,,,,,,,
Haushalt,,Schubladen aufräumen,Schubladendenken,"Jeder hat eine Kramschublade, sortiere deine Schubladen aus. Wirf zum Beispiel alles weg was du seit über einem Jahr nicht mehr genutzt hast.",Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,,,10,,Ja/nein,Success,
Haushalt,,Klo putzen,Der Thron,Putze dein Klo,,,,,,,,,,,,Success,
